日期,纽约原油-多头仓位,纽约原油-空头仓位,纽约原油-净仓位,原糖-多头仓位,原糖-空头仓位,原糖-净仓位,大豆-多头仓位,大豆-空头仓位,大豆-净仓位,豆油-多头仓位,豆油-空头仓位,豆油-净仓位,豆粕-多头仓位,豆粕-空头仓位,豆粕-净仓位,白银-多头仓位,白银-空头仓位,白银-净仓位,铂金-多头仓位,铂金-空头仓位,铂金-净仓位,钯金-多头仓位,钯金-空头仓位,钯金-净仓位,纽约天然气-多头仓位,纽约天然气-空头仓位,纽约天然气-净仓位,黄金-多头仓位,黄金-空头仓位,黄金-净仓位,棉花-多头仓位,棉花-空头仓位,棉花-净仓位,玉米-多头仓位,玉米-空头仓位,玉米-净仓位
1986-01-15,0.0,0.0,0.0,0.0,0.0,0.0,117120.0,175845.0,-58725.0,22419.0,20074.0,2345.0,12024.0,29111.0,-17087.0,34323.0,57215.0,-22892.0,4720.0,11319.0,-6599.0,1388.0,5236.0,-3848.0,0.0,0.0,0.0,80962.0,89990.0,-9028.0,0.0,0.0,0.0,307790.0,307815.0,-25.0
1986-01-31,0.0,0.0,0.0,0.0,0.0,0.0,122430.0,177790.0,-55360.0,24159.0,21289.0,2870.0,14999.0,26924.0,-11925.0,31867.0,58330.0,-26463.0,3192.0,11363.0,-8171.0,1230.0,4951.0,-3721.0,0.0,0.0,0.0,82262.0,85250.0,-2988.0,0.0,0.0,0.0,323200.0,247390.0,75810.0
1986-02-14,0.0,0.0,0.0,0.0,0.0,0.0,130140.0,169890.0,-39750.0,28115.0,16568.0,11547.0,19591.0,23204.0,-3613.0,32173.0,53506.0,-21333.0,3356.0,11087.0,-7731.0,1961.0,4633.0,-2672.0,0.0,0.0,0.0,94830.0,76735.0,18095.0,0.0,0.0,0.0,303885.0,205150.0,98735.0
1986-02-28,0.0,0.0,0.0,0.0,0.0,0.0,145015.0,151890.0,-6875.0,32535.0,18992.0,13543.0,20733.0,26915.0,-6182.0,28492.0,43021.0,-14529.0,3303.0,12344.0,-9041.0,1517.0,4861.0,-3344.0,0.0,0.0,0.0,94126.0,76200.0,17926.0,0.0,0.0,0.0,288625.0,204725.0,83900.0
1986-03-14,0.0,0.0,0.0,0.0,0.0,0.0,125300.0,200975.0,-75675.0,30936.0,21889.0,9047.0,19675.0,30104.0,-10429.0,25972.0,43243.0,-17271.0,3127.0,13656.0,-10529.0,1321.0,4737.0,-3416.0,0.0,0.0,0.0,85925.0,78653.0,7272.0,0.0,0.0,0.0,276865.0,220480.0,56385.0
1986-03-31,0.0,0.0,0.0,0.0,0.0,0.0,122485.0,201310.0,-78825.0,28676.0,27317.0,1359.0,22397.0,29013.0,-6616.0,27390.0,43253.0,-15863.0,2753.0,13030.0,-10277.0,1244.0,4765.0,-3521.0,0.0,0.0,0.0,88897.0,67171.0,21726.0,0.0,0.0,0.0,279915.0,231765.0,48150.0
1986-04-15,0.0,0.0,0.0,0.0,0.0,0.0,162045.0,158340.0,3705.0,30326.0,22348.0,7978.0,28459.0,26120.0,2339.0,29117.0,46343.0,-17226.0,2350.0,12073.0,-9723.0,1496.0,4260.0,-2764.0,0.0,0.0,0.0,99640.0,67997.0,31643.0,0.0,0.0,0.0,338630.0,206805.0,131825.0
1986-04-30,0.0,0.0,0.0,0.0,0.0,0.0,113425.0,179655.0,-66230.0,28658.0,24096.0,4562.0,25337.0,26788.0,-1451.0,26849.0,41377.0,-14528.0,2612.0,10392.0,-7780.0,1518.0,4300.0,-2782.0,0.0,0.0,0.0,88769.0,72810.0,15959.0,0.0,0.0,0.0,284170.0,263175.0,20995.0
1986-05-15,0.0,0.0,0.0,0.0,0.0,0.0,101165.0,157960.0,-56795.0,26389.0,25374.0,1015.0,24384.0,24450.0,-66.0,28687.0,42068.0,-13381.0,2773.0,10385.0,-7612.0,1843.0,4403.0,-2560.0,0.0,0.0,0.0,94944.0,71660.0,23284.0,0.0,0.0,0.0,236180.0,279765.0,-43585.0
1986-05-30,0.0,0.0,0.0,0.0,0.0,0.0,103970.0,143170.0,-39200.0,26478.0,28640.0,-2162.0,27151.0,21739.0,5412.0,27548.0,44963.0,-17415.0,3140.0,10772.0,-7632.0,1802.0,4106.0,-2304.0,0.0,0.0,0.0,78662.0,56902.0,21760.0,0.0,0.0,0.0,261085.0,279935.0,-18850.0
1986-06-13,0.0,0.0,0.0,0.0,0.0,0.0,117930.0,126800.0,-8870.0,33774.0,28302.0,5472.0,29843.0,29979.0,-136.0,26198.0,48111.0,-21913.0,2529.0,11666.0,-9137.0,1811.0,5049.0,-3238.0,0.0,0.0,0.0,69558.0,66942.0,2616.0,0.0,0.0,0.0,312395.0,261675.0,50720.0
1986-06-30,0.0,0.0,0.0,0.0,0.0,0.0,134435.0,102190.0,32245.0,36015.0,28932.0,7083.0,32489.0,26270.0,6219.0,23455.0,37390.0,-13935.0,2208.0,9876.0,-7668.0,1610.0,4092.0,-2482.0,0.0,0.0,0.0,88561.0,62551.0,26010.0,0.0,0.0,0.0,336245.0,242965.0,93280.0
1986-07-15,0.0,0.0,0.0,0.0,0.0,0.0,107510.0,105860.0,1650.0,38124.0,34194.0,3930.0,28718.0,27653.0,1065.0,25286.0,39989.0,-14703.0,1853.0,12250.0,-10397.0,1790.0,4529.0,-2739.0,0.0,0.0,0.0,86078.0,67675.0,18403.0,0.0,0.0,0.0,345510.0,243095.0,102415.0
1986-07-31,0.0,0.0,0.0,0.0,0.0,0.0,96530.0,134605.0,-38075.0,34141.0,27913.0,6228.0,26201.0,30112.0,-3911.0,28170.0,47415.0,-19245.0,2122.0,12284.0,-10162.0,1748.0,4936.0,-3188.0,0.0,0.0,0.0,69897.0,71940.0,-2043.0,0.0,0.0,0.0,364765.0,264260.0,100505.0
1986-08-15,0.0,0.0,0.0,0.0,0.0,0.0,118245.0,97755.0,20490.0,34924.0,27998.0,6926.0,26108.0,24996.0,1112.0,28769.0,57473.0,-28704.0,3485.0,13751.0,-10266.0,1720.0,5277.0,-3557.0,0.0,0.0,0.0,67333.0,82453.0,-15120.0,0.0,0.0,0.0,361960.0,252155.0,109805.0
1986-08-29,0.0,0.0,0.0,0.0,0.0,0.0,123035.0,92895.0,30140.0,33697.0,26338.0,7359.0,24409.0,29201.0,-4792.0,22803.0,47385.0,-24582.0,2736.0,15412.0,-12676.0,1117.0,4536.0,-3419.0,0.0,0.0,0.0,69541.0,84510.0,-14969.0,0.0,0.0,0.0,362875.0,231280.0,131595.0
1986-09-15,0.0,0.0,0.0,0.0,0.0,0.0,123290.0,604220.0,-480930.0,26696.0,23271.0,3425.0,22113.0,26273.0,-4160.0,30527.0,60532.0,-30005.0,1975.0,15327.0,-13352.0,1342.0,4940.0,-3598.0,0.0,0.0,0.0,69388.0,95797.0,-26409.0,0.0,0.0,0.0,382955.0,242000.0,140955.0
1986-09-30,0.0,0.0,0.0,0.0,0.0,0.0,112055.0,98355.0,13700.0,22627.0,25170.0,-2543.0,22497.0,28147.0,-5650.0,24420.0,50017.0,-25597.0,2260.0,13608.0,-11348.0,1357.0,4794.0,-3437.0,0.0,0.0,0.0,57513.0,85239.0,-27726.0,0.0,0.0,0.0,367155.0,350850.0,16305.0
