symbol,exchange,name
V0,dce,PVC连续
P0,dce,棕榈油连续
B0,dce,豆二连续
M0,dce,豆粕连续
I0,dce,铁矿石连续
JD0,dce,鸡蛋连续
L0,dce,塑料连续
PP0,dce,聚丙烯连续
FB0,dce,纤维板连续
Y0,dce,豆油连续
C0,dce,玉米连续
A0,dce,豆一连续
J0,dce,焦炭连续
JM0,dce,焦煤连续
CS0,dce,淀粉连续
EG0,dce,乙二醇连续
RR0,dce,粳米连续
EB0,dce,苯乙烯连续
PG0,dce,液化石油气连续
LH0,dce,生猪连续
LG0,dce,原木连续
BZ0,dce,纯苯连续
TA0,czce,PTA连续
OI0,czce,菜油连续
RS0,czce,菜籽连续
RM0,czce,菜粕连续
WH0,czce,强麦连续
JR0,czce,粳稻连续
SR0,czce,白糖连续
CF0,czce,棉花连续
RI0,czce,早籼稻连续
MA0,czce,甲醇连续
FG0,czce,玻璃连续
LR0,czce,晚籼稻连续
SF0,czce,硅铁连续
SM0,czce,锰硅连续
CY0,czce,棉纱连续
AP0,czce,苹果连续
CJ0,czce,红枣连续
UR0,czce,尿素连续
SA0,czce,纯碱连续
PF0,czce,短纤连续
PK0,czce,花生连续
SH0,czce,烧碱连续
PX0,czce,对二甲苯连续
PR0,czce,瓶片连续
PL0,czce,丙烯连续
FU0,shfe,燃料油连续
SC0,ine,上海原油连续
AL0,shfe,铝连续
RU0,shfe,天然橡胶连续
ZN0,shfe,沪锌连续
CU0,shfe,铜连续
AU0,shfe,黄金连续
RB0,shfe,螺纹钢连续
PB0,shfe,铅连续
AG0,shfe,白银连续
BU0,shfe,沥青连续
HC0,shfe,热轧卷板连续
SN0,shfe,锡连续
NI0,shfe,镍连续
SP0,shfe,纸浆连续
NR0,ine,20号胶连续
SS0,shfe,不锈钢连续
LU0,ine,低硫燃料油连续
BC0,ine,国际铜连续
AO0,shfe,氧化铝连续
BR0,shfe,丁二烯橡胶连续
EC0,ine,集运指数欧线期货连续
AD0,shfe,铸造铝合金连续
OP0,shfe,胶版印刷纸连续
IF0,cffex,沪深300指数期货连续
TF0,cffex,5年期国债期货连续
IH0,cffex,上证50指数期货连续
IC0,cffex,中证500指数期货连续
TS0,cffex,2年期国债期货连续
IM0,cffex,中证连续指数期货连续
SI0,gfex,工业硅连续
LC0,gfex,碳酸锂连续
PS0,gfex,多晶硅连续
PT0,gfex,铂连续
PD0,gfex,钯连续
